speed,box_size,noise_prob,min_correct_rate,mean_correct_rate,min_hit_rate,mean_hit_rate,failed_objects,passed
1,3,0.0,1.0,1.0,1.0,1.0,,True
2,3,0.0,0.5555555555555556,0.6944444444444444,1.0,1.0,obj_right obj_down_right,False
1,5,0.0,1.0,1.0,1.0,1.0,,True
2,5,0.0,0.5,0.6666666666666666,1.0,1.0,obj_right obj_down_right,False
1,7,0.0,1.0,1.0,1.0,1.0,,True
2,7,0.0,0.3888888888888889,0.6527777777777778,1.0,1.0,obj_right obj_down_right,False
1,3,0.00025,0.7777777777777778,0.9027777777777778,1.0,1.0,,True
2,3,0.00025,0.5555555555555556,0.6527777777777778,0.8888888888888888,0.9583333333333333,obj_right obj_down_right obj_up_left,False
1,5,0.00025,0.6111111111111112,0.9027777777777778,1.0,1.0,obj_down_right,False
2,5,0.00025,0.4444444444444444,0.625,1.0,1.0,obj_down_right obj_up_left,False
1,7,0.00025,0.7777777777777778,0.875,1.0,1.0,,True
2,7,0.00025,0.2222222222222222,0.5555555555555556,1.0,1.0,obj_right obj_down_right obj_up_left,False
1,3,0.0005,0.5555555555555556,0.7777777777777777,1.0,1.0,obj_down_right obj_up_left,False
2,3,0.0005,0.4444444444444444,0.6527777777777778,0.9074074074074073,0.962962962962963,obj_right obj_down_right,False
1,5,0.0005,0.7777777777777778,0.8888888888888888,1.0,1.0,,True
2,5,0.0005,0.3333333333333333,0.5833333333333333,1.0,1.0,obj_left obj_down_right obj_up_left,False
1,7,0.0005,0.8888888888888888,0.9444444444444444,1.0,1.0,,True
2,7,0.0005,0.4444444444444444,0.5833333333333333,1.0,1.0,obj_left obj_down_right obj_up_left,False
