object,direction,speed,box_size,noise_prob,expected_id,stable_id,correct_rate,hit_rate,passed
obj_right,right,1,3,0.0,7,7,1.0,1.0,True
obj_left,left,1,3,0.0,3,3,1.0,1.0,True
obj_down_right,down_right,1,3,0.0,8,8,1.0,1.0,True
obj_up_left,up_left,1,3,0.0,4,4,1.0,1.0,True
obj_right,right,2,3,0.0,7,7,0.5555555555555556,1.0,False
obj_left,left,2,3,0.0,3,3,0.8888888888888888,1.0,True
obj_down_right,down_right,2,3,0.0,8,8,0.6111111111111112,1.0,False
obj_up_left,up_left,2,3,0.0,4,4,0.7222222222222222,1.0,True
obj_right,right,1,5,0.0,7,7,1.0,1.0,True
obj_left,left,1,5,0.0,3,3,1.0,1.0,True
obj_down_right,down_right,1,5,0.0,8,8,1.0,1.0,True
obj_up_left,up_left,1,5,0.0,4,4,1.0,1.0,True
obj_right,right,2,5,0.0,7,7,0.5555555555555556,1.0,False
obj_left,left,2,5,0.0,3,3,0.8888888888888888,1.0,True
obj_down_right,down_right,2,5,0.0,8,7,0.5,1.0,False
obj_up_left,up_left,2,5,0.0,4,4,0.7222222222222222,1.0,True
obj_right,right,1,7,0.0,7,7,1.0,1.0,True
obj_left,left,1,7,0.0,3,3,1.0,1.0,True
obj_down_right,down_right,1,7,0.0,8,8,1.0,1.0,True
obj_up_left,up_left,1,7,0.0,4,4,1.0,1.0,True
obj_right,right,2,7,0.0,7,7,0.6111111111111112,1.0,False
obj_left,left,2,7,0.0,3,3,0.8888888888888888,1.0,True
obj_down_right,down_right,2,7,0.0,8,7,0.3888888888888889,1.0,False
obj_up_left,up_left,2,7,0.0,4,4,0.7222222222222222,1.0,True
obj_right,right,1,3,0.00025,7,7,1.0,1.0,True
obj_left,left,1,3,0.00025,3,3,0.7777777777777778,1.0,True
obj_down_right,down_right,1,3,0.00025,8,8,0.8333333333333334,1.0,True
obj_up_left,up_left,1,3,0.00025,4,4,1.0,1.0,True
obj_right,right,2,3,0.00025,7,7,0.5555555555555556,1.0,False
obj_left,left,2,3,0.00025,3,3,0.8888888888888888,1.0,True
obj_down_right,down_right,2,3,0.00025,8,8,0.5555555555555556,0.8888888888888888,False
obj_up_left,up_left,2,3,0.00025,4,4,0.6111111111111112,0.9444444444444444,False
obj_right,right,1,5,0.00025,7,7,1.0,1.0,True
obj_left,left,1,5,0.00025,3,3,1.0,1.0,True
obj_down_right,down_right,1,5,0.00025,8,8,0.6111111111111112,1.0,False
obj_up_left,up_left,1,5,0.00025,4,4,1.0,1.0,True
obj_right,right,2,5,0.00025,7,7,0.7222222222222222,1.0,True
obj_left,left,2,5,0.00025,3,3,0.7222222222222222,1.0,True
obj_down_right,down_right,2,5,0.00025,8,7,0.4444444444444444,1.0,False
obj_up_left,up_left,2,5,0.00025,4,4,0.6111111111111112,1.0,False
obj_right,right,1,7,0.00025,7,7,1.0,1.0,True
obj_left,left,1,7,0.00025,3,3,0.8333333333333334,1.0,True
obj_down_right,down_right,1,7,0.00025,8,8,0.8888888888888888,1.0,True
obj_up_left,up_left,1,7,0.00025,4,4,0.7777777777777778,1.0,True
obj_right,right,2,7,0.00025,7,7,0.6111111111111112,1.0,False
obj_left,left,2,7,0.00025,3,3,0.8888888888888888,1.0,True
obj_down_right,down_right,2,7,0.00025,8,7,0.2222222222222222,1.0,False
obj_up_left,up_left,2,7,0.00025,4,4,0.5,1.0,False
obj_right,right,1,3,0.0005,7,7,1.0,1.0,True
obj_left,left,1,3,0.0005,3,3,1.0,1.0,True
obj_down_right,down_right,1,3,0.0005,8,8,0.5555555555555556,1.0,False
obj_up_left,up_left,1,3,0.0005,4,4,0.5555555555555556,1.0,False
obj_right,right,2,3,0.0005,7,7,0.6111111111111112,0.9074074074074073,False
obj_left,left,2,3,0.0005,3,3,0.8333333333333334,1.0,True
obj_down_right,down_right,2,3,0.0005,8,8,0.4444444444444444,0.9444444444444444,False
obj_up_left,up_left,2,3,0.0005,4,4,0.7222222222222222,1.0,True
obj_right,right,1,5,0.0005,7,7,1.0,1.0,True
obj_left,left,1,5,0.0005,3,3,1.0,1.0,True
obj_down_right,down_right,1,5,0.0005,8,8,0.7777777777777778,1.0,True
obj_up_left,up_left,1,5,0.0005,4,4,0.7777777777777778,1.0,True
obj_right,right,2,5,0.0005,7,7,0.8333333333333334,1.0,True
obj_left,left,2,5,0.0005,3,3,0.5555555555555556,1.0,False
obj_down_right,down_right,2,5,0.0005,8,7,0.3333333333333333,1.0,False
obj_up_left,up_left,2,5,0.0005,4,4,0.6111111111111112,1.0,False
obj_right,right,1,7,0.0005,7,7,0.9444444444444444,1.0,True
obj_left,left,1,7,0.0005,3,3,0.9444444444444444,1.0,True
obj_down_right,down_right,1,7,0.0005,8,8,1.0,1.0,True
obj_up_left,up_left,1,7,0.0005,4,4,0.8888888888888888,1.0,True
obj_right,right,2,7,0.0005,7,7,0.7222222222222222,1.0,True
obj_left,left,2,7,0.0005,3,3,0.6666666666666666,1.0,False
obj_down_right,down_right,2,7,0.0005,8,8,0.4444444444444444,1.0,False
obj_up_left,up_left,2,7,0.0005,4,4,0.5,1.0,False
