Call ID,Time(ms)
1,212.449597
2,0.996435
3,0.976613
4,0.967484
5,0.973828
6,0.960788
7,0.967513
8,0.985817
9,0.975921
10,0.978876
11,0.976270
12,0.959217
13,0.986379
14,0.972776
15,0.995675
16,0.962626
17,0.976284
18,0.958876
19,0.986480
20,0.975141
21,0.977507
22,0.971033
23,0.979736
24,0.978838
25,0.965949
26,0.979546
27,0.971222
28,0.982392
29,0.974540
30,0.982225
31,0.967348
32,0.963772
33,0.978745
34,0.972939
35,0.966620
36,0.969623
37,0.968353
38,0.979559
39,0.957050
40,0.980918
41,0.974522
42,0.967655
43,0.985837
44,0.986749
45,0.972691
46,0.986209
47,0.967466
48,0.979687
49,0.964471
50,0.978809
51,0.975153
52,0.980023
53,0.973753
54,0.963303
55,0.976127
56,0.973556
57,0.972430
58,0.974448
59,0.976462
60,0.985665
61,0.978815
62,0.965129
63,0.991936
64,0.990624
65,0.974285
66,0.975352
67,0.974794
68,0.984625
69,0.973696
70,0.979132
71,0.961686
72,0.971933
73,0.972098
74,0.969392
75,0.981345
76,0.975390
77,0.958046
78,0.975392
79,0.957684
80,0.977423
81,0.992722
82,0.969558
83,0.970041
84,0.988560
85,0.978976
86,0.969471
87,0.974426
88,0.965625
89,0.997308
90,0.970569
91,0.972371
92,0.959046
93,0.968989
94,0.963877
95,0.961829
96,0.976425
97,0.979064
98,0.977411
99,0.972178
100,0.977154
101,0.968787
102,0.978970
103,0.961770
104,0.973351
105,0.966977
106,0.972229
107,0.977386
108,0.981741
109,0.979767
110,0.968619
111,0.974039
112,0.963761
113,0.969444
114,0.978278
115,0.984843
116,0.972490
117,0.974355
118,0.984081
119,0.972503
120,0.969229
121,0.988799
122,0.968915
123,0.988304
124,0.986614
125,0.974691
126,0.955001
127,0.992959
128,0.976554
129,0.998452
130,0.975798
131,0.967754
132,0.977086
133,0.972738
134,0.965148
135,0.990549
136,0.979391
137,0.960169
138,0.965973
139,0.970612
140,0.981253
141,0.969524
142,0.980155
143,0.971936
144,0.955024
145,0.966580
146,0.970435
147,0.978228
148,0.967657
149,0.975843
150,0.994615
151,0.976973
152,0.961415
153,0.990612
154,0.976273
155,0.969850
156,0.980399
157,0.970022
158,0.975811
159,0.968264
160,0.973014
161,0.965719
162,0.969208
163,0.991263
164,0.973111
165,0.952342
166,0.976453
167,0.976995
168,0.984906
169,0.974619
170,0.982656
171,0.969613
172,0.970762
173,0.974982
174,0.970897
175,0.972758
176,0.977976
177,0.958745
178,0.968946
179,0.976654
180,0.982493
181,0.994209
182,0.980603
183,0.968905
184,0.984261
185,0.969895
186,0.972077
187,0.976007
188,0.978550
189,0.975041
190,0.979183
191,0.968358
192,0.982169
193,0.976335
194,0.980637
195,0.978665
196,0.973090
197,0.981460
198,0.968385
199,0.969763
200,0.975568
201,0.988906
202,0.980774
203,0.982644
204,0.983263
205,0.970398
206,0.998222
207,0.985947
208,0.980703
209,0.974635
210,0.973377
211,0.970246
212,0.961623
213,0.968339
214,0.966292
215,0.968297
216,0.968236
217,0.986190
218,0.979723
219,0.977533
220,0.987201
221,0.984568
222,0.969908
223,0.965467
224,0.960462
225,0.959989
226,0.978671
227,0.976184
228,0.974456
229,0.974195
230,0.970149
231,0.981498
232,0.983571
233,0.978606
234,0.976809
235,0.976803
236,0.963554
237,0.976077
238,0.961902
239,0.974026
240,0.973919
241,0.957579
242,0.967347
243,0.983680
244,0.986446
245,0.978669
246,0.968338
247,0.988746
248,0.970809
249,0.964865
250,0.962780
251,0.965431
252,0.972651
253,0.965517
254,0.974435
255,0.975064
256,0.970841
257,0.972098
258,0.994033
259,0.974909
260,0.965502
261,0.974986
262,0.965056
263,0.973725
264,0.981116
265,0.961757
266,0.979890
267,0.973544
268,0.967320
269,0.961027
270,0.969135
271,0.963278
272,0.975710
273,0.981113
274,0.973020
275,0.995420
276,0.972589
277,0.987313
278,0.972386
279,0.976686
280,0.974791
281,0.973383
282,0.971690
283,0.976498
284,0.957932
285,0.966968
286,0.977820
287,0.974737
288,0.971410
289,0.972457
290,0.995871
291,0.966135
292,0.971895
293,0.971785
294,0.964449
295,0.961143
296,0.955375
297,0.972521
298,0.983495
299,0.956781
300,0.974485
301,0.955874
302,0.969419
303,0.960704
304,0.968460
305,0.962850
306,0.991345
307,0.969285
308,0.967146
309,0.964440
310,0.961317
311,0.967249
312,0.969524
313,0.956277
314,0.960680
315,0.977456
316,0.959258
317,0.981432
318,0.960835
319,0.977658
320,0.969824
321,0.972209
322,0.975025
323,0.954470
324,0.969710
325,0.955805
326,0.967086
327,0.960445
328,0.968563
329,0.974811
330,0.974555
331,0.972027
332,0.977518
333,0.976519
334,0.977151
335,0.957216
336,0.969223
337,0.971473
338,0.982482
339,0.969573
340,0.980648
341,0.977150
342,0.963282
343,0.956565
344,0.970152
345,0.968165
346,0.966635
347,0.975577
348,0.964514
349,0.986509
350,0.974116
351,0.972957
352,0.971653
353,0.971245
354,0.959875
355,0.975633
356,0.971353
357,0.987046
358,0.960684
359,0.993303
360,0.959960
361,0.977399
362,0.975016
363,0.962891
364,0.981720
365,0.960393
366,0.968921
367,0.981650
368,0.972259
369,0.985068
370,0.969694
371,0.970535
372,0.971093
373,0.968831
374,0.986185
375,0.978140
376,0.980385
377,0.984036
378,0.974217
379,0.967660
380,0.975246
381,0.962171
382,0.979894
383,0.971065
384,0.978879
385,0.969365
386,0.967748
387,0.956512
388,0.977286
389,0.962533
390,0.981324
391,0.977989
392,0.970817
393,0.976551
394,0.988785
395,0.964731
396,0.970851
397,0.977188
398,0.993465
399,0.958511
400,0.966929
401,0.980344
402,0.966517
403,1.003757
404,0.978707
405,0.960314
406,0.987615
407,0.966692
408,1.007827
409,0.977224
410,0.961317
411,0.962888
412,0.972943
413,0.972225
414,0.966486
415,0.965484
416,0.988420
417,0.970991
418,0.983096
419,0.984560
420,0.974179
421,0.979712
422,0.968180
423,0.971496
424,0.975603
425,0.958616
426,0.969669
427,0.977766
428,0.973916
429,0.966546
430,0.971765
431,0.971289
432,0.974803
433,0.968525
434,0.984072
435,0.975759
436,0.968871
437,0.983280
438,0.972464
439,0.977036
440,0.973749
441,0.979261
442,0.976340
443,1.002261
444,0.968169
445,0.966938
446,0.970889
447,0.975345
448,0.975218
449,0.978634
450,0.967463
451,0.979454
452,0.962558
453,0.967413
454,0.970213
455,0.974072
456,0.972663
457,0.967964
458,0.976101
459,0.978249
460,0.979311
461,0.974356
462,0.981228
463,0.968175
464,0.980544
465,0.970019
466,0.987580
467,0.978243
468,0.967790
469,0.984008
470,0.971603
471,0.976079
472,0.972551
473,0.978185
474,0.981656
475,0.970454
476,0.975952
477,0.969727
478,0.966055
479,0.966318
480,0.966838
481,0.971322
482,0.977708
483,0.966121
484,0.978559
485,0.970049
486,0.958160
487,0.961527
488,0.978422
489,0.972340
490,0.983528
491,0.971441
492,0.970371
493,0.960169
494,0.988833
495,0.970652
496,0.981387
497,0.961841
498,0.974312
499,0.954638
500,0.966342
501,0.957572
502,0.966669
503,0.965954
504,0.977569
505,0.968685
506,0.983494
507,0.975510
508,0.973627
509,0.968611
510,0.980783
511,0.972129
512,0.972254
513,0.972272
514,0.966077
515,0.984012
516,0.963577
517,0.976432
518,0.975013
519,0.970508
520,0.972224
521,0.989668
522,0.967909
523,0.972868
524,0.967244
525,0.969209
526,0.975838
527,0.970655
528,0.976361
529,0.969065
530,0.963919
531,0.990711
532,0.975487
533,0.968100
534,0.966378
535,0.985993
536,0.992630
537,0.955660
538,0.962790
539,0.972335
540,0.967276
541,0.979401
542,0.987345
543,0.985461
544,0.976915
545,0.985999
546,0.974315
547,0.963064
548,0.973832
549,0.967487
550,0.976427
551,0.984703
552,0.970387
553,0.964638
554,0.969751
555,0.968730
556,0.978240
557,0.968160
558,0.967330
559,0.980191
560,0.970715
561,0.963255
562,0.980701
563,0.954915
564,0.968564
565,0.979241
566,0.975491
567,0.965672
568,0.966772
569,0.967246
570,0.964836
571,0.959704
572,0.975732
573,0.972689
574,0.963679
575,0.963206
576,0.968402
577,0.958088
578,0.976278
579,0.972929
580,0.968378
581,0.963902
582,0.962608
583,0.977823
584,0.963754
585,0.959256
586,0.969562
587,0.994335
588,0.973735
589,0.958098
590,0.976342
591,0.977461
592,0.966034
593,0.983145
594,0.958645
595,0.983034
596,0.962913
597,0.960917
598,0.979864
599,0.960558
600,0.973128
601,0.973654
602,0.956661
603,0.962724
604,0.976155
605,0.983584
606,0.967948
607,0.960330
608,0.975404
609,0.966731
610,0.974016
611,0.971380
612,0.966423
613,0.969701
614,0.969227
615,0.964419
616,0.980304
617,0.974274
618,0.959695
619,0.973683
620,0.955882
621,0.960484
622,0.991084
623,0.972272
624,0.991241
625,0.967025
626,0.984065
627,0.959625
628,0.980031
629,0.977965
630,0.977733
631,0.970075
632,0.972064
633,0.958159
634,0.964401
635,0.971994
636,0.975030
637,0.968100
638,0.977671
639,0.964954
640,0.966354
641,0.981233
642,0.976847
643,0.958893
644,0.960782
645,0.981581
646,0.969736
647,0.979146
648,0.960007
649,0.966101
650,0.976499
651,0.975167
652,0.967558
653,0.968947
654,0.960361
655,0.962699
656,0.973807
657,0.962920
658,0.970653
659,0.974891
660,0.969331
661,0.960041
662,0.961518
663,0.970112
664,0.966919
665,0.968979
666,0.966657
667,0.971426
668,0.969992
669,0.972903
670,0.984612
671,0.965107
672,0.971303
673,0.986828
674,0.961728
675,0.968125
676,0.958495
677,0.964206
678,0.963378
679,0.970854
680,0.957608
681,0.980808
682,0.971031
683,0.980801
684,0.978502
685,0.968885
686,0.974006
687,0.971002
688,0.965844
689,0.972073
690,0.969292
691,0.967297
692,0.968821
693,0.957618
694,0.979838
695,0.964179
696,0.968148
697,0.975503
698,0.968504
699,0.992666
700,0.973391
701,0.957284
702,0.974142
703,0.957656
704,0.973158
705,0.974907
706,0.965211
707,0.966423
708,0.964470
